0,3,0,0,3,2,As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,3,0,3,0,1,boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,3,0,3,0,1,You ever fuck a bitch and she start to cry? You be confused as shit
3,3,0,2,1,1,she look like a tranny
4,6,0,6,0,1,The shit you hear about me might be true or it might be faker than the bitch who told it to ya
5,3,1,2,0,1,The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!
6,3,0,3,0,1,I can not just sit up and HATE on another bitch .. I got too much shit going on!
7,3,0,3,0,1,cause I'm tired of you big bitches coming for us skinny girls!!
8,3,0,3,0,1,you might not get ya bitch back thats that
9,3,1,2,0,1,fighting Mariam bitch
10,3,0,3,0,1,Keeks is a bitch she curves everyone "lol I walked into a conversation like this. Smh"
11,3,0,3,0,1,Murda Gang bitch its Gang Land
12,3,0,2,1,1,So hoes that smoke are losers ? "yea ... go on IG"
13,3,0,3,0,1,bad bitches is the only thing that i like
14,3,1,2,0,1,bitch get up off me
15,3,0,3,0,1,bitch nigga miss me with it
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch who do you love
18,3,0,3,0,1,bitches get cut off everyday B
19,3,0,3,0,1,black bottle &amp; a bad bitch
20,3,0,3,0,1,broke bitch cant tell me nothing
21,3,0,3,0,1,cancel that bitch like Nino
22,3,0,3,0,1,cant you see these hoes wont change
23,3,0,3,0,1,fuck no that bitch dont even suck dick "the Kermit videos bout to fuck IG up"
24,3,0,3,0,1,got ya bitch tip toeing on my hardwood floors
25,3,0,2,1,1,her pussy lips like Heaven doors
26,3,0,3,0,1,hoe what its hitting for
27,3,0,3,0,1,i met that pussy on Ocean Dr . i gave that pussy a pill
28,3,0,3,0,1,i need a trippy bitch who fuck on Hennessy
29,3,0,3,0,1,i spend my money how i want bitch its my business
30,3,0,3,0,1,i txt my old bitch my new bitch pussy wetter
31,3,0,3,0,1,i'd say im back to the old me but my old bitches would get excited
32,3,0,3,0,1,if you aint bout that Murder Game pussy nigga shut up
33,3,0,3,0,1,if you're toes ain't done you pussy stinks
34,3,0,3,0,1,im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that
35,3,0,3,0,1,is that ya bitch
36,3,0,3,0,1,it aint nothing to cut a bitch off
37,3,0,3,0,1,jus meet son now he ya mane ass bitches
38,3,0,2,1,1,lames crying over hoes thats tears of a clown
39,3,0,3,0,1,like Snoop said in 94 we dont love these hoes
40,3,0,1,2,2,momma said no pussy cats inside my doghouse
41,3,0,3,0,1,most hated but the hoes favorite
42,3,0,3,0,1,nice girls bad make me get naughty. Bad yello hoe real nice body. Down south chick like em real thick
43,3,0,3,0,1,pimps up pimps up hoes down
44,3,0,3,0,1,post a picture of that pussy get 200 likes
45,3,0,3,0,1,pussy is a powerful drug
46,3,0,3,0,1,quick piece of pussy call it a drive by
47,3,0,3,0,1,running round here like some brand new pussy thats bout to get fucked
48,3,0,3,0,1,these bitches even worst they'll send them guys for you
49,3,1,2,0,1,these hoes like niggas that spend money not talk bout it
50,3,1,2,0,1,we dont trust these niggas all these bitches
51,3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never have bitches
52,3,0,3,0,1,you dodge a bullet "All da bitches I cut off pregnant or bound to be ....thank God"
53,3,0,3,0,1,young Pill Chamberlain these bitches love my music
54,3,0,2,1,1,Teanna Trump probably cleaner than most of these twitter hoes but.........
55,3,0,3,0,1,Gay niggas couldn't wait to act like bitches tonight
56,3,0,3,0,1,And ima steal his cat'n replace it with a pitbull @The_Paradox He a bitch you should do it
57,3,0,3,0,1,he's gone always be a hoe
58,3,0,3,0,1,...Son of a bitch took my Tic Tacs."I like this movie."
59,3,0,3,0,1,..All I wanna do is get money and fuck model bitches! " - Russell Simmons"
60,3,0,2,1,1,I probably wouldn't mind school as much if we didn't have to deal with bitch ass teachers
61,3,0,3,0,1,I'm a fucking fag they said
62,3,0,3,0,1,Females think dating a pussy is cute now? " how does doing this stuff make him a pussy?"
63,3,0,0,3,2," woof woof hot scally lad"
64,3,0,3,0,1,Have ya ever asked your bitch for other bitches - kanye voice " Yes"
65,3,0,3,0,1,How u gone bring ur side bitch to a game where You know Ya gf friends at ?! " I SWEAR!!!!!"
66,3,0,1,2,2," woof woof and hot soles"
67,3,0,1,2,2,Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
68,3,0,3,0,1,bitch fuck u " maybe you'll get better."
69,3,1,2,0,1,Fuck Red Malone man bitch ass niggah" could you please use complete sentences?"
70,3,0,0,3,2,Why the eggplant emoji doe? "y he say she looked like scream lmao"
71,3,0,3,0,1,"that's one sexy bitch"
72,3,0,3,0,1,Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
73,3,0,3,0,1,#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
74,3,1,2,0,1,Yo fuck skateboarding all y'all some wood pushing faggots man ball is life
75,3,0,1,2,2,baby monkey bathtime " Awwwwe! This is soooo ADORABLE!"
76,3,0,3,0,1,I ain't shit . " Damn Skippy lol"
77,3,1,2,0,1,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy "No bs must b chance"
78,3,0,3,0,1,"0 rings 0 mvps 0 bitches lol"
79,3,1,2,0,1,ppl talk bad about the ghetto/hood ... but as a kid growing up a nigga had funnnnnnn!
80,9,0,7,2,1,The facts on tattoos...tattoo " he's a pussy with not tattooing them nipples"
81,3,0,3,0,1,Bitches be wanting to act like niggas so bad that shit aint cuteeeee " but niggas act like bitches.."
82,3,0,3,0,1,Get worshiping bitch! " woof woof"
